Timestamp,Tables,Kitchen Queue,Completed Orders,Waiting Queue,Ingredients,Waiters
2025-06-10 20:03:47,"Table 1 (size 2): Occupied (Group 1);Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","","","","cheese:7;dough:6;lettuce:9;meat:5;noodles:8;salt:12;sauce:13;tomato:9;","2 active"
2025-06-10 20:03:48,"Table 1 (size 2): Occupied (Group 1);Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","","","","cheese:7;dough:6;lettuce:9;meat:5;noodles:8;salt:12;sauce:13;tomato:9;","2 active"
2025-06-10 20:03:49,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","","","","cheese:7;dough:6;lettuce:9;meat:5;noodles:8;salt:12;sauce:13;tomato:9;","2 active"
2025-06-10 20:03:50,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","","","","cheese:7;dough:6;lettuce:9;meat:5;noodles:8;salt:12;sauce:13;tomato:9;","2 active"
2025-06-10 20:03:51,"Table 1 (size 2): Occupied (Group 2);Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","","","","cheese:6;dough:5;lettuce:9;meat:5;noodles:8;salt:12;sauce:12;tomato:9;","2 active"
2025-06-10 20:03:52,"Table 1 (size 2): Occupied (Group 2);Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","","","","cheese:9;dough:8;lettuce:12;meat:8;noodles:11;salt:15;sauce:15;tomato:12;","2 active"
2025-06-10 20:03:53,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","","","","cheese:9;dough:8;lettuce:12;meat:8;noodles:11;salt:15;sauce:15;tomato:12;","2 active"
2025-06-10 20:03:55,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","","","","cheese:9;dough:8;lettuce:12;meat:8;noodles:11;salt:15;sauce:15;tomato:12;","2 active"
2025-06-10 20:03:56,"Table 1 (size 2): Occupied (Group 3);Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","Steak(Group 3) ","","","cheese:8;dough:7;lettuce:12;meat:8;noodles:11;salt:15;sauce:14;tomato:12;","2 active"
2025-06-10 20:03:57,"Table 1 (size 2): Occupied (Group 3);Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","Steak(Group 3) ","","","cheese:8;dough:7;lettuce:12;meat:8;noodles:11;salt:15;sauce:14;tomato:12;","2 active"
2025-06-10 20:03:58,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","","","","cheese:11;dough:10;lettuce:15;meat:10;noodles:14;salt:17;sauce:17;tomato:15;","2 active"
2025-06-10 20:04:00,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Occupied (Group 4);Table 4 (size 4): Free;","Pizza(Group 4) Salad(Group 4) Salad(Group 4) Pizza(Group 4) ","","","cheese:11;dough:10;lettuce:15;meat:10;noodles:13;salt:17;sauce:16;tomato:15;","2 active"
2025-06-10 20:04:01,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","Salad(Group 4) Salad(Group 4) Pizza(Group 4) ","","","cheese:10;dough:9;lettuce:15;meat:10;noodles:13;salt:17;sauce:15;tomato:15;","2 active"
2025-06-10 20:04:02,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Occupied (Group 5);Table 4 (size 4): Free;","Salad(Group 4) Salad(Group 4) Pizza(Group 4) Pizza(Group 5) Steak(Group 5) Pizza(Group 5) Steak(Group 5) Pasta(Group 5) ","","","cheese:10;dough:9;lettuce:15;meat:10;noodles:13;salt:17;sauce:15;tomato:15;","2 active"
2025-06-10 20:04:03,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 6), Orders: Pizza Pizza Pizza Pizza ;Table 3 (size 6): Occupied (Group 5);Table 4 (size 4): Free;","Pizza(Group 4) Pizza(Group 5) Steak(Group 5) Pizza(Group 5) Steak(Group 5) Pasta(Group 5) ","Salad(Group 4) Salad(Group 4) ","","cheese:13;dough:12;lettuce:16;meat:13;noodles:16;salt:20;sauce:18;tomato:16;","2 active"
2025-06-10 20:04:04,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 6);Table 3 (size 6): Occupied (Group 5);Table 4 (size 4): Free;","Pizza(Group 5) Steak(Group 5) Pizza(Group 5) Steak(Group 5) Pasta(Group 5) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) ","","","cheese:12;dough:11;lettuce:16;meat:13;noodles:16;salt:20;sauce:17;tomato:16;","2 active"
2025-06-10 20:04:05,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 6);Table 3 (size 6): Occupied (Group 5);Table 4 (size 4): Free;","Pizza(Group 5) Steak(Group 5) Pizza(Group 5) Steak(Group 5) Pasta(Group 5) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) ","","","cheese:12;dough:11;lettuce:16;meat:13;noodles:16;salt:20;sauce:17;tomato:16;","2 active"
2025-06-10 20:04:06,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 6);Table 3 (size 6): Occupied (Group 5);Table 4 (size 4): Free;","Steak(Group 5) Pizza(Group 5) Steak(Group 5) Pasta(Group 5) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) ","","","cheese:11;dough:10;lettuce:16;meat:13;noodles:16;salt:20;sauce:16;tomato:16;","2 active"
2025-06-10 20:04:07,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 6);Table 3 (size 6): Occupied (Group 5);Table 4 (size 4): Free;","Steak(Group 5) Pizza(Group 5) Steak(Group 5) Pasta(Group 5) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) ","","Group 7(size 6) ","cheese:11;dough:10;lettuce:16;meat:13;noodles:16;salt:20;sauce:16;tomato:16;","2 active"
2025-06-10 20:04:08,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 6);Table 3 (size 6): Occupied (Group 7);Table 4 (size 4): Free;","Pizza(Group 5) Steak(Group 5) Pasta(Group 5) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 7) Pasta(Group 7) Steak(Group 7) Pasta(Group 7) Steak(Group 7) Steak(Group 7) ","","","cheese:14;dough:13;lettuce:19;meat:15;noodles:19;salt:22;sauce:19;tomato:19;","2 active"
2025-06-10 20:04:09,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 6);Table 3 (size 6): Occupied (Group 7);Table 4 (size 4): Free;","Steak(Group 5) Pasta(Group 5) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 7) Pasta(Group 7) Steak(Group 7) Pasta(Group 7) Steak(Group 7) Steak(Group 7) ","","","cheese:13;dough:12;lettuce:19;meat:15;noodles:19;salt:22;sauce:18;tomato:19;","2 active"
2025-06-10 20:04:10,"Table 1 (size 2): Occupied (Group 8);Table 2 (size 4): Occupied (Group 6);Table 3 (size 6): Occupied (Group 7);Table 4 (size 4): Free;","Steak(Group 5) Pasta(Group 5) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 6) Pizza(Group 7) Pasta(Group 7) Steak(Group 7) Pasta(Group 7) Steak(Group 7) Steak(Group 7) Steak(Group 8) ","","","cheese:13;dough:12;lettuce:19;meat:15;noodles:19;salt:22;sauce:18;tomato:19;","2 active"
