Timestamp,Tables,Kitchen Queue,Completed Orders,Waiting Queue,Ingredients,Waiters
2025-06-10 21:43:16,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Occupied (Group 1);Table 4 (size 4): Free;","Steak(Group 1) Salad(Group 1) Pasta(Group 1) Pizza(Group 1) Pasta(Group 1) Salad(Group 1) Steak(Group 1) ","","","cheese:7;dough:6;lettuce:9;meat:6;noodles:7;salt:13;sauce:12;tomato:9;","2 active"
2025-06-10 21:43:17,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Free;Table 4 (size 4): Free;","Salad(Group 1) Pasta(Group 1) Pizza(Group 1) Pasta(Group 1) Salad(Group 1) Steak(Group 1) ","","","cheese:7;dough:6;lettuce:9;meat:5;noodles:7;salt:12;sauce:12;tomato:9;","2 active"
2025-06-10 21:43:19,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Free;Table 4 (size 4): Free;","Pasta(Group 1) Pizza(Group 1) Pasta(Group 1) Salad(Group 1) Steak(Group 1) ","","","cheese:7;dough:6;lettuce:8;meat:5;noodles:7;salt:12;sauce:12;tomato:8;","2 active"
2025-06-10 21:43:20,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Free;Table 4 (size 4): Free;","Pizza(Group 1) Pasta(Group 1) Salad(Group 1) Steak(Group 1) ","","","cheese:7;dough:6;lettuce:8;meat:5;noodles:6;salt:12;sauce:11;tomato:8;","2 active"
2025-06-10 21:43:21,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Free;Table 4 (size 4): Free;","Pasta(Group 1) Salad(Group 1) Steak(Group 1) ","","","cheese:6;dough:5;lettuce:8;meat:5;noodles:6;salt:12;sauce:10;tomato:8;","2 active"
2025-06-10 21:43:22,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Occupied (Group 2);Table 4 (size 4): Free;","Pasta(Group 1) Salad(Group 1) Steak(Group 1) Steak(Group 2) Pasta(Group 2) Salad(Group 2) Salad(Group 2) Pasta(Group 2) Pizza(Group 2) Salad(Group 2) Pizza(Group 2) Salad(Group 2) ","","","cheese:9;dough:8;lettuce:11;meat:8;noodles:9;salt:15;sauce:13;tomato:11;","2 active"
2025-06-10 21:43:23,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Occupied (Group 2);Table 4 (size 4): Free;","Salad(Group 1) Steak(Group 1) Steak(Group 2) Pasta(Group 2) Salad(Group 2) Salad(Group 2) Pasta(Group 2) Pizza(Group 2) Salad(Group 2) Pizza(Group 2) Salad(Group 2) ","","","cheese:9;dough:8;lettuce:11;meat:8;noodles:8;salt:15;sauce:12;tomato:11;","2 active"
2025-06-10 21:43:24,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Occupied (Group 2);Table 4 (size 4): Free;","Steak(Group 2) Pasta(Group 2) Salad(Group 2) Salad(Group 2) Pasta(Group 2) Pizza(Group 2) Salad(Group 2) Pizza(Group 2) Salad(Group 2) ","","","cheese:9;dough:8;lettuce:10;meat:7;noodles:8;salt:14;sauce:12;tomato:10;","2 active"
2025-06-10 21:43:25,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Occupied (Group 2);Table 4 (size 4): Free;","Steak(Group 2) Pasta(Group 2) Salad(Group 2) Salad(Group 2) Pasta(Group 2) Pizza(Group 2) Salad(Group 2) Pizza(Group 2) Salad(Group 2) ","","Group 3(size 7) ","cheese:9;dough:8;lettuce:10;meat:7;noodles:8;salt:14;sauce:12;tomato:10;","2 active"
2025-06-10 21:43:26,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 10): Occupied (Group 2);Table 4 (size 4): Free;","Pasta(Group 2) Salad(Group 2) Salad(Group 2) Pasta(Group 2) Pizza(Group 2) Salad(Group 2) Pizza(Group 2) Salad(Group 2) ","","Group 3(size 7) ","cheese:9;dough:8;lettuce:10;meat:6;noodles:8;salt:13;sauce:12;tomato:10;","2 active"
